Last,First,Student Number,Department
Gonzalez,Oliver,1862190394,Chemistry
Roberts,Barbara,1343146197,Computer Science
Carter,Raymond,1460039151,Philosophy
Thomas,Quintin,1956164586,Computer Science
Mitchell,Wendy,1194904159,Computer Science
Garcia,Richard,1805585202,Philosophy
Morris,Jose,1406702018,Management
Lewis,Margaret,1408693337,Philosophy
Miller,Donald,1561260147,Management
Gonzalez,Sandra,156529848,Chemistry
Cook,Donna,1964122569,Management
Miller,John,1592910056,Management
Green,Deborah,1443481202,English
Lee,Larry,123114492,Computer Science
Cook,Margaret,196421446,English
Turner,Roger,178204480,Management
White,Martha,1150191016,English
King,Gary,1230466275,Philosophy
Lewis,Dennis,1589143020,Philosophy
Parker,Mark,1718692410,Chemistry
Hall,Yang,1618776373,Philosophy
Adams,Gary,1885646441,Philosophy
Taylor,Zara,1200279938,Philosophy
Harris,Nancy,1285528360,Management
Collins,Kathleen,1945106993,Management
Lee,Charles,1236433148,Philosophy
Jackson,Barbara,1890421889,Biology
Collins,Urusla,1336808229,Management
Evans,Stephanie,161731430,Management
Stewart,Raymond,188786308,Philosophy
Taylor,Raymond,1336913520,Philosophy
Young,Holly,1164120288,Chemistry
White,Susan,199726985,Computer Science
Taylor,Quintin,1310260159,Chemistry
Gonzalez,Charles,1570465639,Philosophy
Hall,Margaret,1904664102,Biology
White,Ruth,1387725890,Management
Perez,Andrew,1550837948,Biology
Reed,Jeffrey,1125349415,English
Campbell,Ingrid,1964379015,Biology
Garcia,Kimberly,1647770415,Computer Science
Stewart,Arthur,1548684079,Philosophy
Brown,Quintin,1330980006,Biology
Perez,Dave,1930144183,Biology
Smith,Patricia,1429604822,Management
Anderson,Kathleen,1421300875,Computer Science
Scott,Virginia,1817107552,Management
Reed,Nancy,1917741711,Chemistry
Cook,Anthony,1470749284,Philosophy
Morris,Jeffrey,1638277964,Chemistry
